Genome	SSU	Copy ratio	Organism	Species	Strain	
GCA_003030285	SSU_4:SSU_1:SSU_5:SSU_3:SSU_2	3:1:1:1:1	Salmonella enterica subsp. enterica serovar Typhimurium	Salmonella enterica	CFSAN018746
GCA_003030305	SSU_1	3	Cutibacterium acnes	Cutibacterium acnes	ATCC 6919
GCA_003030345	SSU_1	1	Plantactinospora sp. BC1	Plantactinospora sp.	BC1
GCA_003030365	SSU_4:SSU_1:SSU_5:SSU_6:SSU_3:SSU_2	2:1:1:1:1:1	Escherichia coli	Escherichia coli	675SK2
GCA_003030385	SSU_1	1	Plantactinospora sp. BB1	Plantactinospora sp.	BB1
GCA_003030405	SSU_2:SSU_1:SSU_3	4:1:1	Listeria monocytogenes	Listeria monocytogenes	CFSAN054108
GCA_003030425	SSU_1:SSU_2	3:1	Enterococcus faecalis	Enterococcus faecalis	FDAARGOS_324
GCA_003030465	SSU_1	4	Thauera aromatica K172	Thauera aromatica	K172
GCA_003030905	SSU_1:SSU_2	1:1	Bifidobacterium adolescentis	Bifidobacterium adolescentis	43841
GCA_003030925	SSU_10:SSU_9:SSU_8:SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1:1:1:1	Shewanella baltica	Shewanella baltica	CW2
GCA_003030985	SSU_1:SSU_4:SSU_3:SSU_2	1:1:1:1	Stenotrophomonas maltophilia	Stenotrophomonas maltophilia	W18
GCA_003031205	SSU_4:SSU_1:SSU_5:SSU_6:SSU_3:SSU_2	4:1:1:1:1:1	Vibrio anguillarum	Vibrio anguillarum	425
GCA_003031225	SSU_2:SSU_1	6:1	Escherichia coli	Escherichia coli	HKUOPY1
GCA_003031245	SSU_1	2	Rhodopseudomonas palustris	Rhodopseudomonas palustris	YSC3
GCA_003031265	SSU_1	2	Rhodopseudomonas palustris	Rhodopseudomonas palustris	PS3
GCA_003031305	SSU_4:SSU_2:SSU_1:SSU_5:SSU_3	2:2:1:1:1	Pectobacterium carotovorum	Pectobacterium carotovorum	43892
GCA_003031325	SSU_2:SSU_5:SSU_1:SSU_4:SSU_3	3:2:1:1:1	Klebsiella pneumoniae	Klebsiella pneumoniae	NH25
GCA_003031345	SSU_2:SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_7	2:1:1:1:1:1:1	Klebsiella pneumoniae	Klebsiella pneumoniae	NH54
GCA_003031365	SSU_1	2	Xanthomonas oryzae pv. oryzae	Xanthomonas oryzae	MAI1
GCA_003031385	SSU_1	2	Xanthomonas oryzae pv. oryzae	Xanthomonas oryzae	BAI3
GCA_003031405	SSU_1:SSU_2:SSU_3	3:2:1	Halomonas sp. 'Soap Lake #6'	Halomonas sp.	Soap Lake #6
GCA_003031425	SSU_2:SSU_1:SSU_4:SSU_3	3:1:1:1	Staphylococcus aureus	Staphylococcus aureus	CFSAN007896
GCA_003031485	SSU_3:SSU_1:SSU_4:SSU_2	2:1:1:1	Staphylococcus aureus	Staphylococcus aureus	CC5
GCA_003031835	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Salmonella enterica subsp. enterica serovar Typhimurium	Salmonella enterica	FORC58
GCA_003031855	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Salmonella enterica subsp. enterica serovar Tennessee	Salmonella enterica	PIR00537
GCA_003031875	SSU_6:SSU_1:SSU_4:SSU_5:SSU_3:SSU_2	2:1:1:1:1:1	Salmonella enterica subsp. enterica serovar Tennessee	Salmonella enterica	ATCC 10722
GCA_003031895	SSU_2:SSU_1:SSU_3	4:1:1	Listeria monocytogenes	Listeria monocytogenes	ATCC 13932
GCA_003031915	SSU_2:SSU_1:SSU_3	4:1:1	Listeria monocytogenes	Listeria monocytogenes	PIR00546
GCA_003031935	SSU_1:SSU_3:SSU_4:SSU_2	2:2:1:1	Listeria monocytogenes	Listeria monocytogenes	PIR00543
GCA_003031955	SSU_2:SSU_3:SSU_1	3:2:1	Listeria monocytogenes	Listeria monocytogenes	ATCC 51775
GCA_003031975	SSU_1:SSU_2:SSU_3	3:2:1	Listeria monocytogenes	Listeria monocytogenes	PIR00545
GCA_003031995	SSU_4:SSU_1:SSU_3:SSU_2	3:2:1:1	Salmonella enterica subsp. enterica serovar Enteritidis	Salmonella enterica	ATCC BAA-708
GCA_003032015	SSU_3:SSU_1:SSU_4:SSU_2	4:1:1:1	Salmonella enterica subsp. enterica serovar Typhimurium	Salmonella enterica	PIR00538
GCA_003032035	SSU_2:SSU_1:SSU_4:SSU_3	4:1:1:1	Salmonella enterica subsp. enterica serovar Enteritidis	Salmonella enterica	PIR00532
GCA_003032055	SSU_3:SSU_1:SSU_4:SSU_2	3:1:1:1	Listeria monocytogenes	Listeria monocytogenes	PIR00544
GCA_003032075	SSU_2:SSU_1:SSU_4:SSU_3	3:1:1:1	Listeria monocytogenes	Listeria monocytogenes	ATCC 51779
GCA_003032455	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Pantoea vagans	Pantoea vagans	PV989
GCA_003032475	SSU_1	6	Streptomyces sp. P3	Streptomyces sp.	P3
GCA_003032495	SSU_2:SSU_1	5:2	Halomonas sp. SF2003	Halomonas sp.	SF2003
GCA_003033905	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Escherichia coli	Escherichia coli	26561
GCA_003037325	SSU_3:SSU_1:SSU_2	5:2:1	Klebsiella pneumoniae	Klebsiella pneumoniae	WCHKP040035
GCA_003037615	SSU_3:SSU_4:SSU_1:SSU_5:SSU_2	3:2:1:1:1	Klebsiella pneumoniae subsp. pneumoniae	Klebsiella pneumoniae	SCKP040074
GCA_003038215	SSU_3:SSU_1:SSU_2	4:2:2	Klebsiella pneumoniae	Klebsiella pneumoniae	WCHKP020030
GCA_003043895	SSU_2:SSU_1:SSU_3	4:1:1	Listeria monocytogenes	Listeria monocytogenes	PIR00540
GCA_003043915	SSU_2:SSU_1:SSU_4:SSU_5:SSU_6:SSU_3	2:1:1:1:1:1	Escherichia coli	Escherichia coli	RM14723
GCA_003044015	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Escherichia coli	Escherichia coli	RM14715
GCA_003045165	SSU_9:SSU_8:SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1:1:1	Bacillus velezensis	Bacillus velezensis	DR-08
GCA_003047005	SSU_7:SSU_8:SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2	2:1:1:1:1:1:1:1	Bacillus velezensis	Bacillus velezensis	J7-1
GCA_003047025	SSU_7:SSU_8:SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2	2:1:1:1:1:1:1:1	Bacillus velezensis	Bacillus velezensis	44045
GCA_003047045	SSU_7:SSU_8:SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2	2:1:1:1:1:1:1:1	Bacillus velezensis	Bacillus velezensis	131-4
GCA_003047065	SSU_1	4	Lactobacillus acidophilus	Lactobacillus acidophilus	DSM 20079
GCA_003047085	SSU_5:SSU_3:SSU_7:SSU_9:SSU_8:SSU_1:SSU_4:SSU_6:SSU_2	2:2:2:1:1:1:1:1:1	Vibrio parahaemolyticus	Vibrio parahaemolyticus	S107-1
GCA_003047125	SSU_4:SSU_1:SSU_5:SSU_3:SSU_2	5:3:1:1:1	Vibrio vulnificus Env1	Vibrio vulnificus	Env1
GCA_003047145	SSU_3:SSU_1:SSU_2	2:1:1	Pseudomonas stutzeri	Pseudomonas stutzeri	SGAir0442
GCA_003047165	SSU_9:SSU_8:SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1:1:1	Bacillus sp. ZY-1-1	Bacillus sp.	ZY-1-1
GCA_003047185	SSU_1:SSU_2:SSU_3	2:2:1	Pseudomonas syringae pv. atrofaciens	Pseudomonas syringae	LMG5095
GCA_003047205	SSU_1:SSU_4:SSU_5:SSU_3:SSU_2	1:1:1:1:1	Carboxydocella thermautotrophica	Carboxydocella thermautotrophica	19
GCA_003047225	SSU_5:SSU_7:SSU_6:SSU_3:SSU_1:SSU_4:SSU_2	3:3:2:2:1:1:1	Bacillus sp. Y-01	Bacillus sp.	Y-01
GCA_003048255	SSU_3:SSU_1:SSU_2	5:1:1	Yersinia massiliensis	Yersinia massiliensis	GTA
GCA_003048375	SSU_1	3	Campylobacter concisus	Campylobacter concisus	P2CDO4
GCA_003049785	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Dickeya dadantii	Dickeya dadantii	DSM 18020
GCA_003049805	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2	2:1:1:1:1:1	Dickeya sp. Secpp 1600	Dickeya sp.	Secpp 1600
GCA_003049825	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2	1:1:1:1:1:1	Pseudomonas koreensis	Pseudomonas koreensis	P19E3
GCA_003050665	SSU_1	2	Helicobacter pylori	Helicobacter pylori	FDAARGOS_298
GCA_003050685	SSU_1	2	Xanthomonas translucens pv. undulosa	Xanthomonas translucens	ICMP11055
GCA_003051885	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2	2:2:1:1:1:1	Lelliottia sp. WB101	Lelliottia sp.	WB101
GCA_003051945	SSU_2:SSU_3:SSU_1	4:3:1	Enterobacter hormaechei	Enterobacter hormaechei	SCEH020042
GCA_003051965	SSU_1	6	Acinetobacter pittii	Acinetobacter pittii	WCHAP005046
GCA_003051985	SSU_1	7	Escherichia coli	Escherichia coli	WCHEC005784
GCA_003052005	SSU_1	4	Pseudomonas aeruginosa	Pseudomonas aeruginosa	WCHPA075019
GCA_003052025	SSU_2:SSU_1	2:1	Zymomonas mobilis subsp. mobilis	Zymomonas mobilis	ZM4 substr. 8b
GCA_003052045	SSU_2:SSU_1	2:1	Zymomonas mobilis subsp. mobilis	Zymomonas mobilis	ZM4 substr. 2032
GCA_003052125	SSU_1:SSU_2	1:1	Methanococcus maripaludis	Methanococcus maripaludis	OS7mut1
GCA_003052165	SSU_1	2	Dietzia sp. JS16-p6b	Dietzia sp.	JS16-p6b
GCA_003052645	SSU_3:SSU_4:SSU_1:SSU_2	3:2:1:1	Escherichia coli	Escherichia coli	J53
GCA_003052665	SSU_3:SSU_1:SSU_4:SSU_5:SSU_2	3:1:1:1:1	Escherichia coli	Escherichia coli	ME8067
GCA_003052765	SSU_5:SSU_6:SSU_8:SSU_1:SSU_4:SSU_3:SSU_2:SSU_7	2:2:1:1:1:1:1:1	Shewanella baltica	Shewanella baltica	128
GCA_003052785	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Salmonella enterica subsp. enterica serovar Thompson	Salmonella enterica	HFCDC-SM-846
GCA_003053755	SSU_6:SSU_3:SSU_1:SSU_4:SSU_5:SSU_2	2:2:1:1:1:1	Enterobacter cloacae	Enterobacter cloacae	AR_0093
GCA_003054385	SSU_4:SSU_5:SSU_2:SSU_1:SSU_3	2:2:2:1:1	Klebsiella pneumoniae	Klebsiella pneumoniae	SCM96
GCA_003054425	SSU_4:SSU_1:SSU_3:SSU_2	5:1:1:1	Edwardsiella ictaluri	Edwardsiella ictaluri	MS-17-156
GCA_003054475	SSU_1:SSU_4:SSU_3:SSU_2	1:1:1:1	Nodularia spumigena UHCC 0039	Nodularia spumigena	UHCC 0039
GCA_003054495	SSU_1:SSU_4:SSU_5:SSU_3:SSU_2	1:1:1:1:1	Carboxydocella thermautotrophica	Carboxydocella thermautotrophica	41
GCA_003054515	SSU_1	3	Zoogloeaceae bacteirum Par-f-2	Zoogloeaceae bacteirum	Par-f-2
GCA_003054535	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Salmonella enterica subsp. enterica serovar Montevideo str. CDC 2009K-0792	Salmonella enterica	CDC 2009K-0792
GCA_003054555	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2	1:1:1:1:1:1	Streptomyces lunaelactis	Streptomyces lunaelactis	MM109
GCA_003054575	SSU_2:SSU_1	2:1	Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	Zymomonas mobilis	ZM4 = ATCC 31821
GCA_003055625	SSU_1:SSU_2	2:1	Flavobacterium magnum	Flavobacterium magnum	HYN0048
GCA_003055645	SSU_2:SSU_3:SSU_1	3:2:1	Pseudomonas fluorescens	Pseudomonas fluorescens	MS82
GCA_003055835	SSU_1	2	Trueperella pyogenes	Trueperella pyogenes	Arash114
GCA_003057965	SSU_1:SSU_2	1:1	Thermodesulfobium acidiphilum	Thermodesulfobium acidiphilum	43857
GCA_003058345	SSU_7:SSU_8:SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2	2:1:1:1:1:1:1:1	Clostridium botulinum	Clostridium botulinum	DFPST0029
GCA_003058365	SSU_1	1	Haloarculaceae archaeon HArcel1	Haloarculaceae archaeon	HArcel1
GCA_003058445	SSU_7:SSU_8:SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2	2:1:1:1:1:1:1:1	Clostridium botulinum	Clostridium botulinum	CFSAN064329
GCA_003058465	SSU_1:SSU_2	2:1	Bordetella sp. HZ20	Bordetella sp.	HZ20
GCA_003060725	SSU_1	3	Campylobacter jejuni	Campylobacter jejuni	12567
GCA_003060745	SSU_1	3	Campylobacter jejuni	Campylobacter jejuni	NCTC 12660
GCA_003060765	SSU_1	3	Campylobacter jejuni	Campylobacter jejuni	NCTC 12661
GCA_003060785	SSU_1	3	Campylobacter jejuni	Campylobacter jejuni	NCTC 12664
GCA_003060805	SSU_1	2	Arthrospira sp. TJSD092	Arthrospira sp.	TJSD092
GCA_003060825	SSU_10:SSU_9:SSU_8:SSU_1:SSU_12:SSU_4:SSU_5:SSU_11:SSU_6:SSU_3:SSU_13:SSU_2:SSU_7	1:1:1:1:1:1:1:1:1:1:1:1:1	Paenibacillus sp. CAA11	Paenibacillus sp.	CAA11
GCA_003060845	SSU_1:SSU_4:SSU_3:SSU_2	1:1:1:1	Pseudomonas aeruginosa	Pseudomonas aeruginosa	JB2
GCA_003060865	SSU_1	3	Gemmobacter sp. HYN0069	Gemmobacter sp.	HYN0069
GCA_003061265	SSU_2:SSU_1	3:2	Pasteurella multocida	Pasteurella multocida	20N
GCA_003061385	SSU_1	6	Pasteurella multocida	Pasteurella multocida	9N
GCA_003061515	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2	1:1:1:1:1:1	Colwellia sp. Arc7-D	Colwellia sp.	Arc7-D
GCA_003063555	SSU_1:SSU_2	1:1	Aminobacter sp. MSH1	Aminobacter sp.	MSH1
GCA_003063625	SSU_6:SSU_1:SSU_4:SSU_5:SSU_3:SSU_2	2:1:1:1:1:1	Catenovulum sp. CCB-QB4	Catenovulum sp.	CCB-QB4
GCA_003063705	SSU_2:SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_7	2:1:1:1:1:1:1	Enterobacteriaceae bacterium S05	Enterobacteriaceae bacterium	S05
GCA_003063785	SSU_1:SSU_3:SSU_2:SSU_4:SSU_5:SSU_6	3:2:2:1:1:1	Vibrio cholerae	Vibrio cholerae	N16961
GCA_003063885	SSU_3:SSU_2:SSU_1:SSU_4	4:3:2:1	Vibrio cholerae	Vibrio cholerae	Sa5Y
GCA_003065365	SSU_1	1	Polynucleobacter difficilis	Polynucleobacter difficilis	AM-8B5
GCA_003065405	SSU_1	4	Corynebacterium sp. 2183	Corynebacterium sp.	2183
GCA_003065425	SSU_1:SSU_3:SSU_2	1:1:1	Mycetocola sp. 449	Mycetocola sp.	449 = CGMCC 1.16372
GCA_003065485	SSU_1	2	Salinibacterium sp. CGMCC 1.16371	Salinibacterium sp.	CGMCC 1.16371
GCA_003065605	SSU_1:SSU_2	1:1	Aeromicrobium sp. 592	Aeromicrobium sp.	592
GCA_003069525	SSU_1:SSU_4:SSU_5:SSU_3:SSU_2	4:1:1:1:1	Klebsiella pneumoniae	Klebsiella pneumoniae	AR_0153
GCA_003070865	SSU_2:SSU_1	3:1	Corynebacterium sp. 2184	Corynebacterium sp.	2184
GCA_003070885	SSU_1	2	Agromyces sp. MF30-A	Agromyces sp.	MF30-A
GCA_003071285	SSU_2:SSU_5:SSU_1:SSU_4:SSU_3	3:2:1:1:1	Klebsiella aerogenes	Klebsiella aerogenes	AR_0161
GCA_003071305	SSU_8:SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1:1	Klebsiella pneumoniae	Klebsiella pneumoniae	AR_0141
GCA_003071325	SSU_6:SSU_1:SSU_4:SSU_5:SSU_3:SSU_2	2:1:1:1:1:1	Morganella morganii	Morganella morganii	AR_0133
GCA_003071365	SSU_1	1	Methyloceanibacter sp. wino2	Methyloceanibacter sp.	wino2
GCA_003071405	SSU_1	2	Rhodobacter blasticus	Rhodobacter blasticus	43979
GCA_003071425	SSU_5:SSU_1:SSU_4:SSU_3:SSU_2	2:1:1:1:1	Enterococcus faecium	Enterococcus faecium	CFSAN059070
GCA_003071445	SSU_5:SSU_1:SSU_4:SSU_3:SSU_2	2:1:1:1:1	Enterococcus faecium	Enterococcus faecium	CFSAN059071
GCA_003071465	SSU_4:SSU_1:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	3:1:1:1:1:1:1	Bacillus velezensis	Bacillus velezensis	GYL4
GCA_003071485	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Salmonella enterica subsp. enterica serovar Montevideo str. CDC 2010K-0257	Salmonella enterica	CDC 2010K-0257
GCA_003071545	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Salmonella enterica subsp. enterica serovar Corvallis	Salmonella enterica	12-01738
GCA_003071565	SSU_5:SSU_3:SSU_1:SSU_4:SSU_2	2:2:1:1:1	Serratia marcescens	Serratia marcescens	AR_0124
GCA_003071585	SSU_1:SSU_3:SSU_4:SSU_2	3:2:1:1	Serratia marcescens	Serratia marcescens	AR_0130
GCA_003071605	SSU_3:SSU_1:SSU_4:SSU_5:SSU_6:SSU_2	2:1:1:1:1:1	Serratia marcescens	Serratia marcescens	AR_0123
GCA_003071625	SSU_3:SSU_1:SSU_4:SSU_5:SSU_6:SSU_2	2:1:1:1:1:1	Serratia marcescens	Serratia marcescens	AR_0121
GCA_003071645	SSU_3:SSU_1:SSU_4:SSU_5:SSU_2	4:1:1:1:1	Enterobacter cloacae complex sp. FDA-CDC-AR_0164	Enterobacter cloacae	FDA-CDC-AR_0164
GCA_003071665	SSU_1	2	Aminobacter sp. MSH1	Aminobacter sp.	MSH1
GCA_003072465	SSU_1:SSU_2	2:1	Candidatus Kinetoplastibacterium sorsogonicusi	Candidatus Kinetoplastibacterium	MF-08
GCA_003072485	SSU_1	1	Candidatus Fokinia solitaria	Candidatus Fokinia	Rio ETE_ALG 3VII
GCA_003072585	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Acinetobacter schindleri	Acinetobacter schindleri	SGAir0122
GCA_003072605	SSU_6:SSU_5:SSU_1:SSU_4:SSU_3:SSU_2:SSU_7	5:3:2:1:1:1:1	Bacillus megaterium	Bacillus megaterium	YC4-R4
GCA_003072625	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2	1:1:1:1:1:1	Lactobacillus reuteri	Lactobacillus reuteri	WHH1689
GCA_003072645	SSU_10:SSU_9:SSU_8:SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1:1:1:1	Gammaproteobacteria bacterium DM2	Gammaproteobacteria bacterium	DM2
GCA_003073235	SSU_3:SSU_1:SSU_4:SSU_5:SSU_6:SSU_2	3:1:1:1:1:1	Klebsiella pneumoniae	Klebsiella pneumoniae	QS17-0029
GCA_003073255	SSU_1	8	Bacillus velezensis	Bacillus velezensis	QST713
GCA_003073275	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2	2:1:1:1:1:1	Phytobacter sp. SCO41	Phytobacter sp.	SCO41
GCA_003073315	SSU_8:SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1:1	Klebsiella pneumoniae	Klebsiella pneumoniae	AR_0142
GCA_003073335	SSU_3:SSU_1:SSU_4:SSU_5:SSU_6:SSU_2:SSU_7	2:1:1:1:1:1:1	Klebsiella pneumoniae	Klebsiella pneumoniae	AR_0079
GCA_003073375	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	7:2:1:1:1:1:1	Lysinibacillus sp. 2017	Lysinibacillus sp.	2017
GCA_003073395	SSU_1:SSU_3:SSU_2	3:1:1	Staphylococcus aureus subsp. aureus	Staphylococcus aureus	CIT
GCA_003073415	SSU_1:SSU_3:SSU_2	3:1:1	Staphylococcus aureus subsp. aureus	Staphylococcus aureus	CAR
GCA_003073435	SSU_1:SSU_3:SSU_2	3:1:1	Staphylococcus aureus subsp. aureus	Staphylococcus aureus	OXLIM
GCA_003073455	SSU_9:SSU_8:SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1:1:1	Bacillus velezensis	Bacillus velezensis	LDO2
GCA_003073475	SSU_1:SSU_2	1:1	Actinobaculum sp. 313	Actinobaculum sp.	313
GCA_003073495	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Salmonella enterica subsp. enterica serovar Senftenberg str. 361154004	Salmonella enterica	361154004
GCA_003073515	SSU_3:SSU_1:SSU_4:SSU_5:SSU_6:SSU_2	2:1:1:1:1:1	Salmonella enterica	Salmonella enterica	CFSAN051295
GCA_003073535	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Salmonella enterica	Salmonella enterica	CFSAN047866
GCA_003073555	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Salmonella enterica	Salmonella enterica	CFSAN045763
GCA_003073575	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Salmonella enterica subsp. enterica serovar Montevideo str. 531954	Salmonella enterica	531954
GCA_003073595	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Salmonella enterica	Salmonella enterica	CFSAN045764
GCA_003073615	SSU_1:SSU_2	3:1	Pseudomonas aeruginosa	Pseudomonas aeruginosa	AR444
GCA_003073635	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2	1:1:1:1:1:1	Staphylococcus aureus	Staphylococcus aureus	AR466
GCA_003073655	SSU_3:SSU_2:SSU_1	3:2:1	Staphylococcus aureus	Staphylococcus aureus	AR465
GCA_003073675	SSU_8:SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1:1	Klebsiella pneumoniae	Klebsiella pneumoniae	AR438
GCA_003073695	SSU_1:SSU_4:SSU_3:SSU_2	1:1:1:1	Pseudomonas aeruginosa	Pseudomonas aeruginosa	AR441
GCA_003073715	SSU_1:SSU_4:SSU_5:SSU_3:SSU_2	2:1:1:1:1	Staphylococcus aureus	Staphylococcus aureus	AR461
GCA_003073735	SSU_2:SSU_1	3:1	Pseudomonas aeruginosa	Pseudomonas aeruginosa	AR445
GCA_003073755	SSU_5:SSU_1:SSU_4:SSU_3:SSU_2	2:1:1:1:1	Staphylococcus aureus	Staphylococcus aureus	AR464
GCA_003073775	SSU_1:SSU_4:SSU_5:SSU_3:SSU_2	2:1:1:1:1	Staphylococcus aureus	Staphylococcus aureus	AR462
GCA_003073795	SSU_2:SSU_1:SSU_3	2:1:1	Pseudomonas aeruginosa	Pseudomonas aeruginosa	AR442
GCA_003073815	SSU_2:SSU_1:SSU_3	4:2:1	Escherichia coli	Escherichia coli	AR437
GCA_003073835	SSU_3:SSU_1:SSU_4:SSU_5:SSU_2	3:1:1:1:1	Escherichia coli	Escherichia coli	AR435
GCA_003073875	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2	2:1:1:1:1:1	Escherichia coli	Escherichia coli	AR436
GCA_003073895	SSU_2:SSU_1:SSU_3	2:1:1	Pseudomonas aeruginosa	Pseudomonas aeruginosa	AR439
GCA_003073935	SSU_4:SSU_2:SSU_1:SSU_5:SSU_3	2:2:1:1:1	Proteus mirabilis	Proteus mirabilis	AR379
GCA_003073955	SSU_3:SSU_1:SSU_4:SSU_2	4:1:1:1	Escherichia coli	Escherichia coli	AR434
GCA_003073975	SSU_3:SSU_4:SSU_1:SSU_2	4:2:1:1	Klebsiella oxytoca	Klebsiella oxytoca	AR380
GCA_003073995	SSU_8:SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1:1	Enterobacter hormaechei	Enterobacter hormaechei	AR432
GCA_003074015	SSU_1:SSU_4:SSU_3:SSU_5:SSU_2	2:2:2:1:1	Klebsiella pneumoniae	Klebsiella pneumoniae	AR376
GCA_003074035	SSU_1:SSU_2	1:1	Miniimonas sp. S16	Miniimonas sp.	S16
GCA_003074055	SSU_1	6	Streptomyces nigra	Streptomyces nigra	452
GCA_003074075	SSU_3:SSU_2:SSU_1:SSU_4:SSU_5:SSU_6	2:2:1:1:1:1	Klebsiella michiganensis	Klebsiella michiganensis	AR375
GCA_003076275	SSU_1	5	Microbulbifer sp. A4B17	Microbulbifer sp.	A4B17
GCA_003076295	SSU_1	3	Trueperella pyogenes	Trueperella pyogenes	TP4479
GCA_003076315	SSU_1	3	Trueperella pyogenes	Trueperella pyogenes	TP-2849
GCA_003076335	SSU_1:SSU_2	1:1	Clavibacter michiganensis subsp. insidiosus	Clavibacter michiganensis	R1-3
GCA_003076355	SSU_1:SSU_2	1:1	Clavibacter michiganensis subsp. insidiosus	Clavibacter michiganensis	ATCC 10253
GCA_003076375	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2	1:1:1:1:1:1	Staphylococcus simulans	Staphylococcus simulans	MR2
GCA_003076415	SSU_4:SSU_2:SSU_1:SSU_3	2:2:1:1	Burkholderia cenocepacia	Burkholderia cenocepacia	PC184 Mulks
GCA_003076435	SSU_2:SSU_1:SSU_3	3:1:1	Lactobacillus plantarum	Lactobacillus plantarum	plantarum
GCA_003076455	SSU_1:SSU_2:SSU_3	3:2:1	Flavobacterium faecale	Flavobacterium faecale	WV33
GCA_003076475	SSU_1	6	Flavobacterium kingsejongi	Flavobacterium kingsejongi	WV39
GCA_003076495	SSU_4:SSU_3:SSU_1:SSU_5:SSU_2	3:3:1:1:1	Weissella cibaria	Weissella cibaria	M2
GCA_003076535	SSU_3:SSU_2:SSU_4:SSU_1	3:3:2:1	Bacillus velezensis	Bacillus velezensis	BS-37
GCA_003076555	SSU_2:SSU_3:SSU_1:SSU_4	4:2:1:1	Klebsiella pneumoniae	Klebsiella pneumoniae	616
GCA_003076795	SSU_1	1	Mycobacteroides abscessus	Mycobacteroides abscessus	G220
GCA_003076855	SSU_1	1	Mycobacteroides abscessus	Mycobacteroides abscessus	G141
GCA_003076875	SSU_1	1	Mycobacteroides abscessus	Mycobacteroides abscessus	G153
